State,Date,Open/Close Location,Fatalities,Injured,Total victims,Weapon Type,Mental Health Issues,Race,Gender,Latitude,Longitude
Texas,11/5/17,Close,26,20,46,Semi-automatic Rifle,No,White,M,,
Nevada,10/1/17,Open,59,527,585,Semi-automatic Rifle,Unclear,White,M,36.181271,-115.134132
Florida,1/6/17,Close,5,6,11,"Semi-automatic, Handgun",Yes,Latino,M,,
Washington,9/23/16,Close,5,0,5,Semi-automatic Rifle,Yes,,M,,
Texas,7/7/16,Open,5,11,16,"Semi-automatic Rifle, Semi-automatic Handgun",Unclear,Black,M,,
Florida,6/12/16,Close,49,53,102,"Semi-automatic Rifle, Semi-automatic Handgun",Unclear,Other,M,,
Texas,4/19/16,Close,4,0,4,Unknown,Unknown,White American or European American,Male,29.785785,-95.824396
Texas,3/21/16,Close,4,0,3,Unknown,Unknown,Unknown,Male,33.635662,-96.60888
Kentucky,3/20/16,Close,4,0,3,Unknown,Yes,White American or European American,Male,38.252665,-85.758456
Pennsylvania,3/9/16,Open,6,3,9,Semi-automatic Rifle,Unknown,Unknown,Male,40.440625,-79.995886
Kansas,3/7/16,Close,5,0,5,Semi-automatic Rifle,Unknown,Some other race,Male,39.114053,-94.627464
Washington,2/26/16,Close,5,0,4,Unknown,Unknown,White American or European American,Male,47.5033,-122.931
Arizona,2/23/16,Close,5,0,4,Unknown,Unknown,White American or European American,Male,33.448377,-112.074037
Michigan,2/20/16,Open,6,2,8,Semi-automatic Handgun,Unclear,White,M,,
Texas,2/6/16,Close,4,0,3,Unknown,Unknown,White American or European American,Male,29.209684,-99.786168
Virginia,1/27/16,Close,6,0,5,Unknown,Yes,White American or European American,Male,36.7921,-76.3293
California,12/2/15,Close,14,21,35,"Semi-automatic Rifle, Semi-automatic Handgun",Unclear,Other,M/F,,
Ohio,11/23/15,Close,4,1,4,Unknown,Unknown,White American or European American,Male,39.98861445,-82.98904135
Texas,11/15/15,Open,6,0,6,Unknown,Unknown,White American or European American,Male,31.8076,-95.8069
Florida,11/13/15,Close,4,1,4,Unknown,Unknown,Black American or African American,Male,30.33216122,-81.67576993
Maine,11/4/15,Close,4,0,3,Handgun,Unknown,Unknown,Male,44.54994725,-69.70782299
Colorado,10/31/15,Open,4,0,3,"Semi-automatic Rifle, Semi-automatic Handgun",Unknown,White American or European American,Male,38.86730659,-104.7572279
Oregon,10/1/15,Close,10,7,16,"Semi-automatic Rifle, Semi-automatic Handgun",Unknown,Two or more races,Male,43.22205555,-123.3522367
South Dakota,9/17/15,Close,6,0,5,Shotgun,Unknown,White American or European American,Male,43.38682722,-98.84357239
